"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DNAJB9",3912.14799857671,1.71422039374078,0.104696125472502,956.219354101249,1.09658033950497e-205,1.4451832294336e-201
"XBP1",10108.682301911,1.2369570369579,0.0709894438971673,869.68929689676,6.14752652870362e-187,4.05091260608925e-183
"SLC33A1",5758.34792128194,1.00290802145634,0.0615360441950153,740.752849071863,5.21647256552677e-159,2.29159639803591e-155
"SEC61A1",21761.0543727349,0.841699604413329,0.0500617790807793,703.920523498209,4.93544465246975e-151,1.62610562687247e-147
"HERPUD1",4928.95838636405,0.721421913558941,0.0679260701832962,686.532517078796,2.87245049390013e-147,7.57120501182197e-144
"SSR1",14273.8331875096,0.942993809730659,0.0591622397733885,639.644831198845,4.06587872591741e-137,8.9307026214776e-134
"ALG2",3852.42908092287,0.985130718640793,0.0781534974644271,613.041595744151,2.33122068716421e-131,4.38902249087673e-128
"TMEM39A",4177.70432280862,1.05257500874535,0.082017514518441,531.699266337568,9.31618081247693e-114,1.53472433659542e-110
"TOMM20",11792.612644313,-0.20678293424081,0.0707510938621112,490.857958912273,6.35682567092617e-105,9.30851172412623e-102
"HSPA5",64729.4391211989,0.645986073994532,0.0585091959030336,459.524058859274,3.79125344115179e-98,4.99649291009394e-95
"SEC24D",2833.68119166832,1.48223916005238,0.0977144551533801,450.086582766548,4.16037027978519e-96,4.98450181066263e-93
"ZNF526",2520.7307462862,0.462830600407935,0.0798684883152788,444.728482830314,5.99032835496894e-95,6.57887811584463e-92
"KPNB1",23169.8594727783,-0.279459434232489,0.0803804875402029,438.034934174523,1.67640815263432e-93,1.69949100335136e-90
"DDX20",7294.4884801602,0.786531924947964,0.0740765055320534,429.107087765737,1.42605076618014e-91,1.34242307482057e-88
"SELENOS",5496.20177658701,0.899253539570958,0.083096119977307,428.761911133649,1.69332870928256e-91,1.48775860397566e-88
"SERPINF1",1905.85963585753,-0.928373658132839,0.0863658590809231,424.923777400301,1.14365351867051e-90,9.42013107659913e-88
"UTP25",6580.27930844947,0.834949980490806,0.0683593173745663,420.464718301352,1.05197871536218e-89,8.15531028809304e-87
"SLC3A2",13028.7467569481,0.664127964095459,0.0628409343058403,411.062950635042,1.13188071251583e-87,8.28725328347009e-85
"HSPA13",8139.59541156489,1.03798391046919,0.0865561873568847,403.528012076224,4.80835356008958e-86,3.33522587202213e-83
"DDIT4",4790.28010847152,-1.21634493822078,0.0953396716927428,401.665165589905,1.21481118965364e-85,8.00499833422267e-83
